epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,5909.71,0.62171,0.42658,0.96704,0.99523,0.99189,0.99466,0.93102,0.35508,0.19995,0.81889,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,5976.63,0.61908,0.42457,0.96644,0.99431,0.99208,0.99461,0.93355,0.34975,0.1967,0.81716,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,6044.17,0.61944,0.42899,0.96385,0.99534,0.99335,0.99464,0.93268,0.34812,0.19552,0.81574,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,6111.23,0.60802,0.4173,0.9593,0.99452,0.9935,0.99472,0.93533,0.34598,0.1931,0.81395,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,6178.12,0.61535,0.42576,0.96344,0.99507,0.99398,0.99482,0.9358,0.3449,0.19342,0.81525,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,6244.86,0.6072,0.4142,0.96034,0.99488,0.9938,0.99469,0.93722,0.33813,0.19059,0.81276,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,6311.6,0.60508,0.41644,0.96117,0.99602,0.99394,0.99483,0.93723,0.33655,0.19011,0.81194,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,6378.41,0.60382,0.41515,0.95854,0.99611,0.9945,0.99476,0.93865,0.33283,0.18816,0.81093,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,6445.14,0.60063,0.41161,0.95971,0.99627,0.99377,0.99466,0.93992,0.33212,0.18785,0.8113,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,6511.88,0.59163,0.40777,0.95421,0.99504,0.99379,0.99458,0.94206,0.32559,0.1853,0.80968,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
